City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Sao Filipe,CV,2020-07-11 16:12:43,14.9,-24.5,75.83,80,48,8.84
284,Novo Cruzeiro,BR,2020-07-11 16:12:46,-17.47,-41.88,71.44,58,49,5.77
285,Hofn,IS,2020-07-11 16:12:47,64.25,-15.21,50.85,78,77,3.51
286,Parabel,RU,2020-07-11 16:12:48,58.7,81.48,62.89,74,44,4.56
287,Ancud,CL,2020-07-11 16:12:50,-41.87,-73.82,48.0,81,75,4.7
288,Gabi,PH,2020-07-11 16:12:51,7.62,126.09,74.19,83,94,2.01
289,Liverpool,GB,2020-07-11 16:10:07,53.41,-2.98,64.0,55,40,13.87
290,Mani,CO,2020-07-11 16:12:54,4.82,-72.29,84.24,71,80,2.59
291,Inhambane,MZ,2020-07-11 16:12:56,-23.86,35.38,77.0,78,20,17.22
292,Grajewo,PL,2020-07-11 16:12:58,53.65,22.46,60.57,75,100,4.92
293,Bubaque,GW,2020-07-11 16:12:59,11.28,-15.83,79.14,87,100,20.67
294,Karpogory,RU,2020-07-11 16:13:00,64.0,44.45,56.55,95,100,7.47
295,Mascote,BR,2020-07-11 16:13:01,-15.56,-39.3,80.76,55,9,5.03
296,Souillac,MU,2020-07-11 16:13:02,-20.52,57.52,69.8,83,75,12.75
297,Ust-Kuyga,RU,2020-07-11 16:13:02,70.02,135.6,65.14,57,99,4.34
298,Kavieng,PG,2020-07-11 16:13:03,-2.57,150.8,82.0,75,100,7.02
299,Nome,US,2020-07-11 16:13:05,64.5,-165.41,53.6,58,1,5.82
300,Lata,PT,2020-07-11 16:13:06,40.16,-8.33,99.0,50,44,10.2
301,Touros,BR,2020-07-11 16:13:09,-5.2,-35.46,78.8,74,75,11.41
302,Mao,ES,2020-07-11 16:13:11,39.89,4.27,78.8,65,0,18.34
303,Sakaiminato,JP,2020-07-11 16:13:11,35.55,133.23,71.6,88,75,6.93
304,Koslan,RU,2020-07-11 16:13:13,63.46,48.9,67.46,53,83,7.34
305,Mudgee,AU,2020-07-11 16:08:45,-32.59,149.59,50.0,100,90,0.4
