City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
102,Lasa,IT,46.62,10.7,73.99,37,5,6.93,clear sky,0.0,0
103,Talnakh,RU,69.49,88.4,59.0,72,100,6.71,light rain,0.18,0
104,Lebu,CL,-37.62,-73.65,48.78,94,100,3.29,light rain,0.18,0
105,Ancud,CL,-41.87,-73.82,36.0,68,97,4.7,overcast clouds,0.0,0
106,Nanortalik,GL,60.14,-45.24,46.83,78,99,9.64,overcast clouds,0.0,0
107,Kindu,CD,-2.95,25.95,91.74,40,83,0.89,broken clouds,0.0,0
108,Saint-Philippe,RE,-21.36,55.77,75.2,69,60,3.36,light rain,0.21,0
109,Am Timan,TD,11.03,20.28,88.68,53,3,7.72,clear sky,0.0,0
110,Mar Del Plata,AR,-38.0,-57.56,44.01,52,0,13.87,clear sky,0.0,0
111,Kizukuri,JP,40.81,140.39,62.01,88,29,4.0,scattered clouds,0.0,0
112,Gambela,ET,8.25,34.58,74.93,93,100,4.7,moderate rain,1.27,0
113,Half Moon Bay,US,37.46,-122.43,59.0,67,1,3.36,clear sky,0.0,0
114,Dosso,NE,13.05,3.19,96.73,34,57,6.38,broken clouds,0.0,0
115,Kristiinankaupunki,FI,62.27,21.38,57.99,74,100,5.84,overcast clouds,0.0,0
116,Lavrentiya,RU,65.58,-171.0,42.91,84,0,3.91,clear sky,0.0,0
117,High Level,CA,58.52,-117.14,55.4,93,75,4.99,broken clouds,0.0,0
118,Guane,CU,22.2,-84.09,84.85,68,92,0.85,overcast clouds,0.0,0
119,Hovd,MN,48.01,91.64,64.4,57,100,3.98,overcast clouds,0.0,0
120,Gunzenhausen,DE,49.1,10.75,73.0,32,1,3.36,clear sky,0.0,0
121,Hamilton,US,39.18,-84.53,72.0,77,75,8.05,broken clouds,0.0,0
122,Faanui,PF,-16.48,-151.75,78.64,74,100,17.98,overcast clouds,0.0,0
123,Hasaki,JP,35.73,140.83,66.2,88,75,13.87,broken clouds,0.0,0
124,Ardesen,TR,41.19,40.99,78.8,78,40,8.05,scattered clouds,0.0,0
125,Miyako,JP,39.64,141.95,59.63,89,13,5.17,few clouds,0.0,0
126,Mossendjo,CG,-2.95,12.73,77.67,67,89,4.5,overcast clouds,0.0,0
127,Russkaya Polyana,UA,49.42,31.92,81.14,51,32,5.08,scattered clouds,0.0,0
128,Upernavik,GL,72.79,-56.15,42.58,79,97,8.41,overcast clouds,0.0,0
129,Karratha,AU,-20.74,116.85,65.3,43,0,6.98,clear sky,0.0,0
130,Jalu,LY,29.03,21.55,97.79,14,0,11.95,clear sky,0.0,0
131,Sassandra,CI,4.95,-6.08,79.11,71,74,7.23,broken clouds,0.0,0
132,Ziarat,PK,30.38,67.73,73.31,42,2,12.84,clear sky,0.0,0
133,Castro,BR,-24.79,-50.01,70.03,55,0,14.0,clear sky,0.0,0
134,Deputatskiy,RU,69.3,139.9,57.85,59,13,5.57,few clouds,0.0,0
135,Yamada,JP,39.47,141.95,59.7,90,11,5.95,few clouds,0.0,0
136,Porto Novo,BJ,6.5,2.6,80.6,83,40,10.29,scattered clouds,0.0,0
137,Eureka,US,40.8,-124.16,52.0,100,0,2.82,clear sky,0.0,0
138,Bambous Virieux,MU,-20.34,57.76,75.2,60,40,18.34,scattered clouds,0.0,0
139,Isangel,VU,-19.55,169.27,72.48,81,9,14.81,clear sky,0.0,0
140,Ahuimanu,US,21.44,-157.84,78.8,61,20,11.41,few clouds,0.0,0
141,Barrow,US,71.29,-156.79,35.6,80,90,9.17,overcast clouds,0.0,0
142,Marsh Harbour,BS,26.54,-77.06,84.63,75,100,19.71,light rain,0.72,0
143,Carauari,BR,-4.88,-66.9,77.34,93,100,3.06,light rain,0.97,0
144,Blagoyevo,RU,63.37,47.92,62.6,62,98,15.01,overcast clouds,0.0,0
145,Sysert,RU,56.5,60.82,84.2,32,31,4.47,scattered clouds,0.0,0
146,Chishtian Mandi,PK,29.8,72.87,105.55,27,48,4.92,scattered clouds,0.0,0
147,Stepnogorsk,KZ,52.35,71.89,75.45,55,21,16.31,few clouds,0.0,0
148,Tessalit,ML,20.2,1.01,105.01,16,36,10.25,scattered clouds,0.0,0
149,Qena,EG,26.16,32.72,104.0,19,0,11.41,clear sky,0.0,0
150,Tual,ID,-5.67,132.75,79.25,81,100,24.23,overcast clouds,0.0,0
151,Provideniya,RU,64.38,-173.3,49.37,69,7,1.83,clear sky,0.0,0
152,Naze,JP,28.37,129.48,82.4,88,97,4.7,overcast clouds,0.0,0
153,Saint-Louis,SN,16.33,-15.0,95.41,40,82,8.84,broken clouds,0.0,0
154,Fort Smith,US,35.39,-94.4,81.0,78,1,5.82,clear sky,0.0,0
155,Avarua,CK,-21.21,-159.78,69.8,88,100,10.29,light rain,0.0,0
156,Kargasok,RU,59.06,80.86,62.87,88,100,10.87,overcast clouds,0.0,0
157,Ixtapa,MX,20.7,-105.2,77.0,94,75,3.36,broken clouds,0.0,0
158,Ayan,RU,56.45,138.17,52.16,90,94,5.5,overcast clouds,0.0,0
159,Los Llanos De Aridane,ES,28.66,-17.92,77.0,65,20,14.99,few clouds,0.0,0
160,Ginir,ET,7.13,40.7,69.1,69,56,12.26,light rain,0.82,0
161,Mount Pleasant,US,32.79,-79.86,89.01,84,1,1.72,clear sky,0.0,0
162,Sampit,ID,-2.53,112.95,73.78,98,100,1.99,overcast clouds,0.0,0
163,Puerto Cabezas,NI,14.04,-83.39,80.6,94,75,11.41,light intensity drizzle,0.0,0
164,Kasongo-Lunda,CD,-6.47,16.82,91.18,32,68,3.87,broken clouds,0.0,0
165,Saint-Pierre,RE,-21.34,55.48,75.2,69,12,3.36,few clouds,0.0,0
166,Georgetown,MY,5.41,100.34,84.2,79,20,1.72,few clouds,0.0,0
167,La Ronge,CA,55.1,-105.28,64.4,77,75,11.41,broken clouds,0.0,0
168,Knysna,ZA,-34.04,23.05,68.0,28,0,8.05,clear sky,0.0,0
169,Saint-Francois,FR,46.42,3.91,82.0,26,0,8.05,clear sky,0.0,0
170,Umm Lajj,SA,25.02,37.27,89.47,57,64,14.32,broken clouds,0.0,0
171,Zhob,PK,31.34,69.45,80.56,45,49,12.12,light rain,0.57,0
172,Husavik,IS,66.04,-17.34,62.6,55,40,6.93,scattered clouds,0.0,0
173,Hualmay,PE,-11.1,-77.61,62.78,70,73,4.0,broken clouds,0.0,0
174,Villaviciosa,ES,43.48,-5.44,75.0,61,6,10.36,clear sky,0.0,0
175,Pisco,PE,-13.7,-76.22,59.0,87,40,4.7,mist,0.0,0
176,Mehamn,NO,71.04,27.85,51.93,72,44,7.87,scattered clouds,0.0,0
177,Kahului,US,20.89,-156.47,78.8,61,1,12.75,clear sky,0.0,0
178,Svetlogorsk,BY,52.63,29.73,56.16,87,100,15.1,overcast clouds,0.0,0
179,Biak,ID,-0.91,122.88,77.11,82,97,6.49,light rain,0.59,0
180,Puerto Colombia,CO,10.99,-74.95,77.0,100,40,2.24,scattered clouds,0.0,0
181,Grindavik,IS,63.84,-22.43,51.8,93,90,12.75,light rain,0.0,0
182,Margate,GB,51.38,1.39,71.01,46,83,4.0,broken clouds,0.0,0
183,Ejido,VE,8.55,-71.24,75.65,54,33,4.61,light rain,0.42,0
184,Sidney,AU,-33.87,151.21,52.0,87,100,5.01,light rain,0.89,0
185,Dinard,FR,48.63,-2.06,73.0,49,0,13.87,clear sky,0.0,0
186,Kokoda,PG,-8.88,147.74,74.91,74,73,1.25,broken clouds,0.0,0
187,Dikson,RU,73.51,80.55,43.39,95,84,7.58,broken clouds,0.0,0
188,Sarakhs,IR,36.54,61.16,102.2,17,40,11.41,scattered clouds,0.0,0
189,Salalah,OM,17.02,54.09,84.2,83,75,11.41,broken clouds,0.0,0
190,Leningradskiy,RU,69.38,178.42,37.06,83,0,7.99,clear sky,0.0,0
191,Roald,NO,62.58,6.13,53.6,76,75,5.82,broken clouds,0.0,0
192,Forbach,FR,49.18,6.9,77.0,28,1,8.05,clear sky,0.0,0
193,North Platte,US,41.12,-100.77,71.01,82,1,3.36,clear sky,0.0,0
194,Sabha,LY,27.04,14.43,103.35,8,0,11.34,clear sky,0.0,0
195,Pipar,IN,26.39,73.54,90.9,59,73,18.43,broken clouds,0.0,0
196,Arraial Do Cabo,BR,-22.97,-42.03,80.6,54,60,9.17,broken clouds,0.0,0
197,Christchurch,NZ,-43.53,172.63,46.0,93,100,11.41,light rain,0.17,0
198,Geraldton,AU,-28.77,114.6,57.2,71,0,12.75,clear sky,0.0,0
199,Spirit River,CA,55.78,-118.84,55.99,81,75,11.41,broken clouds,0.0,0
200,Mwene-Ditu,CD,-7.0,23.45,86.72,34,96,5.7,overcast clouds,0.0,0
201,Carutapera,BR,-1.2,-46.02,82.71,78,1,4.81,light rain,0.57,0
202,Mount Gambier,AU,-37.83,140.77,42.8,93,75,2.24,broken clouds,0.0,0
203,Moorhead,US,46.87,-96.77,72.0,88,1,3.13,clear sky,0.0,0
204,Bengkulu,ID,-3.8,102.27,77.56,89,100,3.87,overcast clouds,0.0,0
205,Chokurdakh,RU,70.63,147.92,54.97,67,57,11.25,broken clouds,0.0,0
206,Namibe,AO,-15.2,12.15,73.08,58,2,12.21,clear sky,0.0,0
207,Tigil,RU,57.8,158.67,55.35,85,99,3.38,overcast clouds,0.0,0
208,East London,ZA,-33.02,27.91,64.4,39,0,14.99,clear sky,0.0,0
209,Buchanan,LR,5.88,-10.05,82.4,74,75,4.7,broken clouds,0.0,0
210,Borba,BR,-4.39,-59.59,86.45,60,84,4.34,broken clouds,0.0,0
211,Acapulco,MX,16.86,-99.89,78.8,88,40,4.7,scattered clouds,0.0,0
212,Thompson,CA,55.74,-97.86,59.0,87,75,8.05,broken clouds,0.0,0
213,Clyde River,CA,70.47,-68.59,42.8,93,90,10.29,overcast clouds,0.0,0
214,Erdenet,MN,49.03,104.08,58.75,86,79,2.86,broken clouds,0.0,0
215,Nanzhang,CN,31.78,111.84,70.74,87,100,2.53,overcast clouds,0.0,0
